Ethnicity,Status,Age,Threshold,PRS only,PRS + Gail,Gail only,PRS + FH,All,Gail + FH,FH only,All PRS,All Gail,All FH,auc.Gail,auc.PRS,n,AgeEthnicity
Asian,0,<50,0.5,636,1099,626,1,106,88,45,1842,1919,240,NA,NA,3822,<50 & Asian
Asian,0,<50,0.6,649,672,617,1,83,101,55,1405,1473,240,NA,NA,3822,<50 & Asian
Asian,0,<50,0.7,826,172,258,1,68,104,67,1067,602,240,NA,NA,3822,<50 & Asian
Asian,0,<50,0.8,707,72,150,3,47,109,81,829,378,240,NA,NA,3822,<50 & Asian
Asian,0,<50,0.9,573,3,12,3,34,108,95,613,157,240,NA,NA,3822,<50 & Asian
Asian,0,<50,1,448,0,0,2,25,114,99,475,139,240,NA,NA,3822,<50 & Asian
Asian,0,<50,1.1,335,0,0,4,18,102,116,357,120,240,NA,NA,3822,<50 & Asian
Asian,0,<50,1.2,254,0,0,5,14,95,126,273,109,240,NA,NA,3822,<50 & Asian
Asian,0,<50,1.3,204,0,0,3,11,89,137,218,100,240,NA,NA,3822,<50 & Asian
Asian,0,<50,1.4,155,0,0,4,7,65,164,166,72,240,NA,NA,3822,<50 & Asian
Asian,0,<50,1.5,131,0,0,1,1,40,198,133,41,240,NA,NA,3822,<50 & Asian
Asian,0,<50,1.6,110,0,0,1,1,30,208,112,31,240,NA,NA,3822,<50 & Asian
Asian,0,<50,1.7,80,0,0,1,0,29,210,81,29,240,NA,NA,3822,<50 & Asian
Asian,0,<50,1.8,70,0,0,1,0,21,218,71,21,240,NA,NA,3822,<50 & Asian
Asian,0,<50,1.9,50,0,0,1,0,13,226,51,13,240,NA,NA,3822,<50 & Asian
Asian,0,<50,2,41,0,0,1,0,1,238,42,1,240,NA,NA,3822,<50 & Asian
Asian,0,<50,2.1,34,0,0,1,0,0,239,35,0,240,NA,NA,3822,<50 & Asian
Asian,0,<50,2.2,29,0,0,1,0,0,239,30,0,240,NA,NA,3822,<50 & Asian
Asian,0,<50,2.3,26,0,0,1,0,0,239,27,0,240,NA,NA,3822,<50 & Asian
Asian,0,<50,2.4,20,0,0,1,0,0,239,21,0,240,NA,NA,3822,<50 & Asian
Asian,0,<50,2.5,18,0,0,1,0,0,239,19,0,240,NA,NA,3822,<50 & Asian
Asian,0,50+,0.5,648,2562,767,1,231,52,0,3442,3612,284,NA,NA,4525,50+ & Asian
Asian,0,50+,0.6,1003,1742,875,4,192,87,1,2941,2896,284,NA,NA,4525,50+ & Asian
Asian,0,50+,0.7,1231,1079,833,4,161,115,4,2475,2188,284,NA,NA,4525,50+ & Asian
Asian,0,50+,0.8,1368,545,592,7,138,131,8,2058,1406,284,NA,NA,4525,50+ & Asian
Asian,0,50+,0.9,1385,198,288,4,114,151,15,1701,751,284,NA,NA,4525,50+ & Asian
Asian,0,50+,1,1199,106,197,10,89,154,31,1404,546,284,NA,NA,4525,50+ & Asian
Asian,0,50+,1.1,1037,43,71,11,74,159,40,1165,347,284,NA,NA,4525,50+ & Asian
Asian,0,50+,1.2,873,9,23,9,62,170,43,953,264,284,NA,NA,4525,50+ & Asian
Asian,0,50+,1.3,742,4,3,10,50,161,63,806,218,284,NA,NA,4525,50+ & Asian
Asian,0,50+,1.4,631,0,0,13,35,146,90,679,181,284,NA,NA,4525,50+ & Asian
Asian,0,50+,1.5,541,0,0,13,26,144,101,580,170,284,NA,NA,4525,50+ & Asian
Asian,0,50+,1.6,446,0,0,12,22,131,119,480,153,284,NA,NA,4525,50+ & Asian
Asian,0,50+,1.7,375,0,0,11,14,117,142,400,131,284,NA,NA,4525,50+ & Asian
Asian,0,50+,1.8,324,0,0,14,7,81,182,345,88,284,NA,NA,4525,50+ & Asian
Asian,0,50+,1.9,259,0,0,12,6,63,203,277,69,284,NA,NA,4525,50+ & Asian
Asian,0,50+,2,215,0,0,12,3,43,226,230,46,284,NA,NA,4525,50+ & Asian
Asian,0,50+,2.1,183,0,0,12,3,30,239,198,33,284,NA,NA,4525,50+ & Asian
Asian,0,50+,2.2,157,0,0,12,3,23,246,172,26,284,NA,NA,4525,50+ & Asian
Asian,0,50+,2.3,135,0,0,9,2,16,257,146,18,284,NA,NA,4525,50+ & Asian
Asian,0,50+,2.4,120,0,0,8,2,10,264,130,12,284,NA,NA,4525,50+ & Asian
Asian,0,50+,2.5,102,0,0,9,1,4,270,112,5,284,NA,NA,4525,50+ & Asian
Asian,1,<50,0.5,962,1246,454,14,303,129,69,2525,2132,515,0.521007729143249,0.531469501581716,4634,<50 & Asian
Asian,1,<50,0.6,948,866,468,20,249,150,96,2083,1733,515,0.505712673170593,0.540947543321302,4634,<50 & Asian
Asian,1,<50,0.7,1262,252,218,26,202,164,123,1742,836,515,0.511448269756427,0.548371963240327,4634,<50 & Asian
Asian,1,<50,0.8,1099,122,153,43,148,166,158,1412,589,515,0.514101457454932,0.543901106805725,4634,<50 & Asian
Asian,1,<50,0.9,1006,3,22,41,119,168,187,1169,312,515,0.513125236,0.545939314605694,4634,<50 & Asian
Asian,1,<50,1,834,0,0,39,97,169,210,970,266,515,0.510516709588786,0.542520959115694,4634,<50 & Asian
Asian,1,<50,1.1,652,0,0,40,69,152,254,761,221,515,0.508146902730416,0.535407190996315,4634,<50 & Asian
